episode,score,epsilon,game length
0,55.0,1.0,495
1,80.0,1.0,585
2,365.0,1.0,1144
3,180.0,1.0,757
4,140.0,1.0,408
5,55.0,1.0,421
6,60.0,1.0,518
7,65.0,1.0,621
8,55.0,0.9986200000000012,510
9,135.0,0.9967000000000028,632
10,115.0,0.9943300000000048,794
11,150.0,0.9925000000000064,614
12,135.0,0.9904900000000081,661
13,165.0,0.9880000000000102,831
14,100.0,0.9865600000000114,486
15,120.0,0.9842200000000134,781
16,70.0,0.9826000000000148,536
17,80.0,0.9814600000000158,380
18,210.0,0.9795100000000174,649
19,120.0,0.9779500000000187,517
20,210.0,0.9758200000000206,715
21,365.0,0.9721000000000237,1239
22,110.0,0.9700000000000255,698
23,80.0,0.9681400000000271,623
24,65.0,0.9661600000000288,660
25,110.0,0.9641500000000305,670
26,45.0,0.9629500000000315,401
27,30.0,0.9613000000000329,552
28,215.0,0.9585100000000353,931
29,135.0,0.9563200000000371,729
30,230.0,0.9535300000000395,927
31,260.0,0.9508600000000418,888
32,115.0,0.9490600000000433,597
33,210.0,0.9466000000000454,826
34,210.0,0.9442600000000474,782
35,50.0,0.9424600000000489,596
36,180.0,0.9394600000000515,999
37,110.0,0.9380500000000527,472
38,55.0,0.936430000000054,540
39,80.0,0.9352000000000551,409
40,35.0,0.9333700000000567,610
41,100.0,0.9322600000000576,373
42,105.0,0.9303700000000592,626
43,120.0,0.9284500000000608,645
44,70.0,0.9268600000000622,528
45,150.0,0.9250000000000638,615
46,105.0,0.9230800000000654,648
47,450.0,0.9190300000000688,1343
48,180.0,0.9171700000000704,623
49,210.0,0.9148000000000724,793
50,145.0,0.9128800000000741,637
51,210.0,0.9103300000000762,850
52,180.0,0.9080800000000782,750
53,210.0,0.9046300000000811,1153
54,105.0,0.9029500000000825,557
55,155.0,0.9007000000000844,751
56,40.0,0.8994700000000855,405
57,210.0,0.8971300000000875,785
58,155.0,0.8952100000000891,640
59,65.0,0.8933500000000907,619
60,195.0,0.890650000000093,898
61,230.0,0.8881000000000951,853
62,255.0,0.8855500000000973,849
63,260.0,0.8819800000001004,1188
64,210.0,0.8796700000001023,767
65,150.0,0.8774500000001042,749
66,90.0,0.8760700000001054,452
67,55.0,0.8745700000001067,505
68,135.0,0.8724700000001084,702
69,160.0,0.87064000000011,603
70,135.0,0.8687200000001116,648
71,105.0,0.8667700000001133,642
72,205.0,0.8641900000001155,866
73,65.0,0.8629600000001165,403
74,105.0,0.8613100000001179,558
75,75.0,0.8594800000001195,603
76,150.0,0.857650000000121,615
77,80.0,0.8561200000001223,508
78,155.0,0.8537800000001243,778
79,180.0,0.851860000000126,646
80,90.0,0.8503600000001272,500
81,160.0,0.8484400000001289,634
82,75.0,0.8473600000001298,358
83,120.0,0.8455600000001313,608
84,245.0,0.8431000000001334,819
85,135.0,0.8411500000001351,649
86,95.0,0.8395600000001364,524
87,110.0,0.837760000000138,600
88,105.0,0.8359600000001395,607
89,95.0,0.8348500000001404,372
90,140.0,0.832960000000142,627
91,105.0,0.8312800000001435,555
92,55.0,0.8301700000001444,374
93,60.0,0.8285200000001458,552
94,410.0,0.8254900000001484,1006
95,120.0,0.82360000000015,633
96,110.0,0.8222500000001511,451
97,135.0,0.820000000000153,748
98,65.0,0.8180800000001547,637
99,55.0,0.8164000000001561,561
100,45.0,0.8152000000001571,397
101,515.0,0.8120500000001598,1052
102,20.0,0.8108500000001608,407
103,110.0,0.8087500000001626,691
104,105.0,0.8070100000001641,587
105,35.0,0.8055100000001654,494
106,60.0,0.8044000000001663,378
107,160.0,0.8020300000001683,782
108,35.0,0.8009200000001693,378
109,65.0,0.7997500000001703,383
110,30.0,0.7982800000001715,489
111,85.0,0.7964200000001731,620
112,35.0,0.7952800000001741,387
113,180.0,0.7922500000001766,1004
114,515.0,0.7890100000001794,1082
115,105.0,0.7868200000001813,730
116,185.0,0.7842400000001835,863
117,135.0,0.7822900000001851,651
118,35.0,0.7807600000001864,511
119,105.0,0.7793500000001876,467
120,185.0,0.7772800000001894,685
121,75.0,0.7759000000001905,465
122,115.0,0.7738900000001923,670
123,260.0,0.7710400000001947,949
124,115.0,0.7691200000001963,637
125,210.0,0.7670200000001981,704
126,170.0,0.7648900000001999,705
127,365.0,0.7621600000002022,910
128,105.0,0.7604200000002037,580
129,290.0,0.7583800000002054,688
130,100.0,0.7572100000002064,382
131,395.0,0.7546300000002086,859
132,125.0,0.7531000000002099,510
133,235.0,0.750700000000212,803
134,215.0,0.7473100000002149,1130
135,105.0,0.7457800000002162,507
136,210.0,0.7437100000002179,697
137,150.0,0.7411000000002201,864
138,180.0,0.7382800000002225,946
139,115.0,0.7358800000002246,800
140,30.0,0.7347100000002256,386
141,240.0,0.7320100000002279,901
142,95.0,0.7296700000002299,783
143,65.0,0.7281700000002311,497
144,145.0,0.7262800000002327,627
145,160.0,0.7242400000002345,680
146,45.0,0.722500000000236,580
147,210.0,0.720130000000238,797
148,515.0,0.7163800000002412,1245
